event_name,metric,pre,post,n_events,avg_delta,median_delta,pct_up,avg_pct_change,median_pct_change
FOMC,c2c_20,20,20,15,0.0006710082561275708,0.005031427801272498,53.333333333333336,10.90721931679494,3.7610724219034912
FOMC,park_20,20,20,15,0.0013261683511296021,0.0004975714210191245,53.333333333333336,8.122793487926385,0.6168472051806811
FOMC,rs_20,20,20,15,0.003635352619055493,-0.00199085113393678,46.666666666666664,8.07515902723385,-2.6219538624071475
FOMC,gk_20,20,20,15,0.002618015725006138,-0.0010088095677255188,46.666666666666664,7.888164620940574,-1.3373466310692808
FOMC,park_60,20,20,15,0.0026929065785745426,0.004181559914575708,60.0,3.3612904572337783,4.272582079482162
FOMC,rs_60,20,20,15,0.00250160451187679,0.0014487207903464,60.0,3.251390253918914,1.7818813689907338
FOMC,gk_60,20,20,15,0.0024697164585440173,0.0025733585999482694,60.0,3.2157442586487965,2.8721366779273305
FOMC,c2c_60,20,20,15,0.0028545306605840186,0.00028045758279032773,53.333333333333336,3.1485188791541656,0.24317120343373158
FOMC,park_120,20,20,15,0.000622754738470325,-5.887008359684032e-07,46.666666666666664,1.605854994960965,-0.00056160651621254
FOMC,c2c_120,20,20,15,0.00048350692657024574,-0.001468935132858673,46.666666666666664,1.5985175110975212,-0.5808336580132881
FOMC,gk_120,20,20,15,0.0007354762199519999,-9.400263587142077e-05,46.666666666666664,1.4936138656442757,-0.08708265038900814
FOMC,rs_120,20,20,15,0.0008434322438848812,-2.691990355857543e-05,46.666666666666664,1.4622267488220269,-0.015198467060009987
